 NumResultRows,No. of columns in output view,TableAccessCount,Joins,Sorting,Aggregation,Clause, TotalIOCount, AMPCPUTime, ParserCPUTime, MaxAMPCPUTime, MaxAmpIO, SpoolUsage, AMPCPUTimeNorm, ParserCPUTimeNorm, MaxAMPCPUTimeNorm,MaxCPUAmpNumberNorm, SeqRespTime, ReqIOKB, ReqPhysIO, ReqPhysIOKB
2,3,1,0,1,1,0,"8,277",1.524,0,0.768,"4,162","1,305,088",35.707,0,17.994,1,4.82,"1,031,799","8,186","1,020,904"
175,3,2,0,1,1,0,"21,116",10.624,0,5.332,"10,629","303,058,944",248.919,0,124.928,1,15.9,"2,525,136","14,252","1,759,562"
2,3,1,0,1,1,0,"8,282",1.528,0,0.768,"4,162","1,305,088",35.8,0,17.994,1,4.81,"1,031,799","8,179","1,020,680"
175,3,2,0,1,1,0,"20,875",10.376,0,5.196,"10,523","303,058,944",243.109,0,121.742,0,15.4,"2,498,885","14,178","1,750,452"
2,3,1,0,1,1,0,"8,277",1.552,0,0.788,"4,162","1,305,088",36.362,0,18.462,1,4.83,"1,031,799","8,181","1,020,744"
5,2,1,0,1,0,1,"8,200",1.7,0,0.868,"4,102","1,683,456",39.83,0,20.337,0,5.48,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.528,0,0.768,"4,162","1,305,088",35.8,0,17.994,1,4.81,"1,031,799","8,184","1,020,840"
5,2,1,0,1,0,1,"8,234",1.756,0,0.9,"4,132","1,683,456",41.143,0,21.087,0,5.48,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.552,0,0.776,"4,162","1,305,088",36.362,0,18.181,1,4.82,"1,031,799","8,180","1,020,712"
5,2,1,0,1,0,1,"8,234",1.712,0,0.876,"4,132","1,683,456",40.111,0,20.524,0,5.45,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,249",1.54,0,0.772,"4,134","1,305,088",36.081,0,18.087,1,4.8,"1,031,799","8,181","1,020,744"
5,2,1,0,1,0,1,"8,234",1.732,0,0.884,"4,132","1,683,456",40.58,0,20.712,0,5.46,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.552,0,0.776,"4,162","1,305,088",36.362,0,18.181,1,4.85,"1,031,799","8,184","1,020,840"
5,2,1,0,1,0,1,"8,200",1.728,0,0.892,"4,102","1,683,456",40.486,0,20.899,0,5.46,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.544,0,0.772,"4,162","1,305,088",36.174,0,18.087,1,4.79,"1,031,799","8,180","1,020,712"
5,2,1,0,1,0,1,"8,234",1.744,0,0.9,"4,132","1,683,456",40.861,0,21.087,0,5.45,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,277",1.568,0,0.8,"4,162","1,305,088",36.738,0,18.744,1,4.79,"1,031,799","8,180","1,020,712"
5,2,1,0,1,0,1,"8,234",1.7,0,0.86,"4,132","1,683,456",39.83,0,20.149,0,5.43,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,756",9.956,0,4.988,"14,941","40,268,800",233.268,0,116.868,1,19.15,"3,633,129","25,000","3,106,815"
5,2,1,0,1,0,1,"8,234",1.704,0,0.86,"4,132","1,683,456",39.923,0,20.149,0,5.47,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,792",9.964,0,5,"15,001","40,268,800",233.456,0,117.15,1,19.19,"3,637,575","24,998","3,107,103"
5,2,1,0,1,0,1,"8,200",1.688,0,0.856,"4,102","1,683,456",39.549,0,20.056,0,5.43,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,670",10.02,0,5.032,"14,885","40,268,800",234.767,0,117.899,1,19.1,"3,625,763","25,003","3,107,295"
5,2,1,0,1,0,1,"8,234",1.696,0,0.856,"4,130","1,683,456",39.737,0,20.056,0,5.44,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,765",9.92,0,4.988,"14,950","40,268,800",232.424,0,116.868,1,19.07,"3,637,702","24,988","3,106,023"
5,2,1,0,1,0,1,"8,200",1.704,0,0.86,"4,102","1,683,456",39.923,0,20.149,0,5.45,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,748",9.956,0,4.988,"14,940","40,268,800",233.268,0,116.868,1,19.22,"3,632,113","25,002","3,107,189"
5,2,1,0,1,0,1,"8,234",1.716,0,0.868,"4,132","1,683,456",40.205,0,20.337,0,5.45,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,797",9.908,0.004,4.968,"15,001","40,268,800",232.144,0.093,116.4,1,19.24,"3,638,210","25,004","3,107,546"
5,2,1,0,1,0,1,"8,200",1.716,0,0.884,"4,130","1,683,456",40.205,0,20.712,0,5.49,"1,031,404","7,985","1,013,938"
411,2,4,0,1,0,1,"29,832",9.928,0,4.996,"15,015","40,268,800",232.612,0,117.056,1,19.04,"3,642,907","24,993","3,106,061"
5,2,1,0,1,0,1,"8,200",1.68,0,0.852,"4,102","1,683,456",39.362,0,19.962,0,5.45,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,277",1.736,0,0.88,"4,162","1,305,088",40.674,0,20.618,1,5.02,"1,031,799","8,181","1,020,744"
5,2,1,0,1,0,1,"8,200",1.696,0,0.868,"4,130","1,683,456",39.737,0,20.337,0,5.5,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.56,0,0.792,"4,162","1,305,088",36.55,0,18.556,1,4.86,"1,031,799","8,184","1,020,840"
5,2,1,0,1,0,1,"8,200",1.688,0,0.856,"4,130","1,683,456",39.549,0,20.056,0,5.46,"1,031,404","7,985","1,013,938"
2,3,1,0,1,1,0,"8,282",1.568,0,0.784,"4,162","1,305,088",36.738,0,18.369,1,4.81,"1,031,799","8,175","1,020,491"
5,2,1,0,1,0,1,"8,234",1.728,0,0.872,"4,130","1,683,456",40.486,0,20.43,0,5.49,"1,031,404","7,985","1,013,938"
